article,label
"Usap-usapan ngayon sa social media ang umano'y panggagaya ng kinatawan ng Thailand na si Ingchanok Prasart sa ginanap na Miss Intercontinental pageant 2018 sa trademark ni Miss Universe 2018 Catriona Gray na ""lava walk."" Isang netizen sa Twitter na nagngangalang Marnie Raro ang nakapansin sa paraan ng paglalakad at pag-project ni Miss Thailand na parang kinokopya ang ""lava walk"" ni Catriona. Bukod kay Miss Thailand, napansin din ng mga netizens ang pagkopya umano sa ""Mayon Volcano gown"" ni Miss Vietnam. Aminado naman ang dalawa na labis nilang hinahangaan at inspirasyon nila si Miss Universe 2018 Catriona Gray. Halo-halo naman ang naging reaksyon ng mga netizens hinggil dito. ""So now everyone looks like Catriona Gray. From hair to stance to gowns. The influence. Only legends do that."" ""Catriona Gray's walk can never be perfect without her walking it."" ""I think so? Even the hand gesture of Miss Thailand seems copied too. Catriona Gray is indeed a queen."" ""Yet they can't copy the original. Because there will be only one Lava Walk and Catriona Gray."" ""Kayo na 'yung may mga originality... hala gawa kayo sarili niyong pageant, ano ba naman yung hayaan niyo na lang sila hays....daming toxic."" Isang patunay lamang ito na maraming mga aspiring beauty pageant candidates, hindi lamang sa Pilipinas kundi maging sa buong mundo, ang tumitingala at humahanga kay Catriona. Aminado naman dito ang marami sa mga kandidata ng naturang katatapos na pageant. Ang 47th edition ng Miss Intercontinental 2018 ay ginanap noong Enero 26, 2019, sa SM Mall of Asia Arena sa Pasay, Metro Manila, Philippines. Kinoronahan ni Miss Intercontinental 2017 Veronica Salas Vallejo ng Mexico ang kandidata ng Pilipinas na si Karen Juanita Gallman. Ito ang kauna-unahang pagkakataong naging host ang Pilipinas sa pageant na ito. Pinili ng Japan organizers ang Pilipinas na maging venue ng pageant dahil abala ang bansang Japan sa mga paghahanda para sa 2020 Summer Olympics. Narito ang buong Twitter post ng netizen:",1
"HULING napanood sa Annaliza last year si Denise Laurel na happy sa muling pagbabalik niya sa Nasaan Ka Nang Kailangan Kita, with Vina Morales and bagets stars mula sa PBB All-In na sina Joshua Garcia, Loisa Andalio, Jerome Ponce at Jane Oineza. Excited si Denise na nakasama niya sa unang pagkakataon si Vina.",0
"Base sa monitoring ng MMDA Metrobase, usad-pagong ang mga sasakyan sa EDSA at iba pang pangunahing lansangan simula 10:00 ng umaga kahapon, bagamat lagpas na sa 7:00 hanggang 9:00 ng umaga na itinuturing na rush hour.",0
"Sinabi ni Woods na ang injury na pumuwersa sa kanya na umatras mula sa event sa Torrey Pines noong nakaraang linggo ay walang kaugnayan sa back surgery niya sa nagdaang spring. Ayon sa kanya, siya ay araw-araw na sumasailalim sa physical therapy at ""feeling better."" Plano niyang mag-ensayo sa darating na linggo sa kanyang home course sa South Florida at masusing pag-aaralan ang laro. ""I am committed to getting back to the pinnacle of my game,"" aniya. ""I'd like to play the Honda Classic - it's a tournament in my hometown and it's important to me - but I won't be there unless my game is tournament-ready. That's not fair to anyone. I do, however, expect to be back playing again very soon."" 	 Nagtamo ang dating World No. 1 ng iba't ibang injury sa mga nagdaang taon, sa leeg, tuhod, Achilles' tendon, siko, at likod. Noong nakaraang Huwebes, umatras si Woods sa first round ng Farmers Insurance Open dahil sa pananakit ng kanyang lower back. Ito ang ikatlo niyang withdrawal sa kanyang huling walong PGA stars, at ikasiyam sa kanyang career. Mula nang mahirang na PGA Tour Player of the Year noong 2013, nakapagtala lamang si Woods ng isang top 25 sa siyam na pag-uumpisa sa pagsadsad ng kanyang world ranking mula sa No. 1 sa kasalukuyan nitong posisyon na No. 62, ang kanyang pinakamababang ranking mula sa kanyang rookie year noong 1996. Noong Marso, sumailalim si Woods sa surgery upang maayos ang pinched nerve sa kanyang likod at nagbalik may tatlong buwan ang nakalipas, ngunit hindi ito naging masyadong matagumpay. Siya ay umatras mula sa WGC-Bridgestone Invitational dahil sa back spasms, muntik na hindi makaabot sa cut ng PGA Championship at nagpahinga ng sumunod na tatlong buwan upang sumailalim sa rehabilitasyon sa kanyang mga injury. Nang siya ay magbalik sa kumpetisyon noong Disyembre sa World Challenge, sinabi niya na ang kanyang likod ""felt great,"" bagamat ang kanyang laro ay bumaba. Tumabla siya sa panghuling puwesto sa 18-man field. Sa kanyang unang start para sa 2015, ang Phoenix Open, nahirapan si Woods sa kanyang short game, ipinoste ang kanyang pinakapangit na iskor sa ikalawang round (82), hindi napasama sa cut (lampas ng 12 shots) at tumabla sa panghuling puwesto. Sinundan ito ng withdrawal mula sa event sa Torrey Pines noong isang linggo, kung saan walong beses na siyang nagwagi, 	kabilang ang kanyang huling major noong 2008 U.S. Open.",0
"Magkasalo sa ngayon ang Lady Chiefs at ang San Sebastian College sa liderato ng women's taglay ang parehas na malinis na kartadang 6-0, panalo-talo. Bagamat pinapaboran na manaig kontra JRU Lady Bombers, hindi pa rin nakasisiguro ang una dahil ang dating ""whipping girls"" ng liga ay hindi na puwedeng basta-basta ipagwalang-bahala dahil kung mabibigyan ng tsansa ay kaya nilang makasilat ng mas malalakas na koponan. Sa katunayan, naitala na ng Lady Bombers ang kanilang pinakamagandang rekord sa liga magmula nang lumahok sila sa volleyball tournament na 3 panalo sa anim na laro na nag-angat sa kanila sa solong ika-apat na puwesto kasunod ng defending champion Perpetual Help na may kartadang 4-1 at St. Benilde na may malinis na barahang 4-0. Mauuna rito, patatagin naman ng Lady Altas ang kanilang pagkakaluklok sa ikatlong puwesto sa paghahangad ng panlimang panalo sa anim na laro sa pagsagupa nila sa hanggang ngayo'y winless pa ring San Beda. Ngunit bago ang nasabing salpukan, magtutuos muna ang kani-kanilang juniors at men's squads sa unang dalwang laro na magsisimula ng alas-8 ng umaga. Nakatakda namang magsagupa sa huling laban ang men's team ng JRU at Arellano na may taglay na magkabaligtarang kartada na 1-4 at 4-1, panalo-talo ayon sa pagkakasunod.",0
NIYANIG ng magnitude 4.5 lindol ang Surigao del Norte kaninang umaga. Ayon sa Philippine Institute of Volcanology and Seismology ang pagyanig na ito ay aftershock ng magnitude 5.9 lindol sa Surigao del Norte noong Pebrero 8.  Naramdaman ang lindol alas-11:06 ng umaga. Ang epicenter nito ay 47 kilometro sa silangan ng General Luna. May lalim itong anim na kilometro at sanhi ng paggalaw ng tectonic plate. Nagresulta ito sa Intensity IV paggalaw sa General Luna.,0
"High school graduate? No problem! Maaari nang mag-apply bilang flight attendant o cabin crew ang mga bagong graduate pa lamang ng high school. Sa Facebook post ng Become a Flight Attendant Philippines, ay inilabas nito ang listahan ng mga requirements kung paano magiging bahagi ng malalaking airlines company sa bansa sa taong 2019. Trabaho ng isang flight attendant ay tiyaking ligtas at maayos ang biyahe ng kanilang mga pasahero. Sila rin ang namamahala kapag nagkakaroon ng sakuna at tinitiyak nila ang pagsunod sa Federal Aviation Administration. Maliban sa height requirements at madalas na pagkakaroon ng good looks ay tumatanggap na rin ang mga kompanya ng eroplano ng mga high school graduates. Ilan sa mga dati nang requirements sa pagiging flight attendant ang mga sumusunod: nakakompleto ng dalawang taong kurso; binata o dalaga; hindi bababa sa 27-anyos; mahusay sa pasulat at pasalitang komunikasyon sa wikang Ingles; may taas na 5'3'' at tugma ito sa kanyang timbang; may groomed-professional image; maayos na ngipin at makatawag-pansing ngiti; at mature, may positibong pag-uugali, may kakayahang umangkop at may kaaya-ayang pag-uugali. Bagama't may sariling kurso ang pagiging flight attendant ay maaaring mag-apply ang mga nakapagtapos ng ibang kurso. Daraan din ang mga aplikante sa tamang proseso ng aplikasyon. Ayon sa Department of Labor and Employment (DOLE), ang nagsisimula pa lamang na flight stewardess ay sumahod ng nasa P18,000 - P26,000 at maaaring tumaas pa ng P36,000- P54,000 depende sa training at karanasan. Bentahe rin nila ang makarating sa iba't ibang lugar sa Pilipinas at sa buong mundo. Sa mga interesadong aplikante maaaring i-click ang Facebook account ng Become a Flight Attendant Philippines.",1
"Maraming netizens ang natunaw ang puso at napabilib sa kumakalat na larawan ng isang mag-ama na kahit walang suot na sapatos ay patuloy na nagmartsa sa graduation rites ng anak. Sa isang post na binahagi sa Facebook, makikita ang isang ama na hawak ang anak na naglalakad kahit silang dalawa ay walang sapatos para sa isa sa mahalagang pangyayari sa buhay ng mag-aaral. Napansin ng mga netizen ang t-shirt na suot ng ama na ""Superman"" na para sa kanila ay nararapat lamang na isuot nito dahil isa umano siyang bayani sa buhay ng bata. Bagama't hindi nasambit sa post kung miyembro ng anumang katutubong grupo ang mag-ama dahil sila ay naka-paa, tunay na napahanga ang mga netizen dahil hindi nila kinahiya kung anuman ang kanilang estado sa buhay. Ang ilan pa sa mga netizen ay hindi raw napigilang maluha nang makita ang larawan.",1
"Naglaho ang AirAsia Flight 8501 noong Linggo sa kalawakan na binabalot ng makapal na ulap sa kanyang daan mula Surabaya, Indonesia, patungong Singapore. Pinalawak na ang paghahanap noong Lunes, ngunit wala pa ring nakikitang anumang bakas ng Airbus A320. ""Based on the coordinates that we know, the evaluation would be that any estimated crash position is in the sea, and that the hypothesis is the plane is at the bottom of the sea,"" sinabi ni Indonesia search and rescue chief Henry Bambang Soelistyo sa isang news conference. Sinabi ni First Adm. Sigit Setiayana, ang Naval Aviation Center commander sa Surabaya air force base, na 12 navy ship, limang eroplano, tatlong helicopter at ilang warship ang tumutulong sa paghahanap, kasama ang mga barko at eroplano mula sa Singapore at Malaysia. Nagpadala na rin ng search plane ang Australian Air Force. Pinahirapan ang paghahanap ng malakas na ulan noong Linggo, ngunit sinabi ni Setiayana noong Lunes na bumuti na ang visibility. ""God willing, we can find it soon,"" aniya sa The Associated Press. Ang paglaho ng eroplano at pinaghihinalaang pagbulusok nito ang nagsara sa nakakamanghang trahedyang taon para sa air travel sa Southeast Asia. Nangunguna sa mga trahedya ng Malaysia-based carrier ang hindi pa rin maipaliwanag na paglaho ng Malaysia Airlines Flight 370 noong Marso at ang pagbagsak ng Malaysia Airlines Flight 17 noong Hulyo sa Ukraine. Ang huling komunikasyon ng cockpit sa air traffic control ay naitala 6:12 a.m. (23:12 GMT Saturday), nang hilingin ng isa sa mga piloto na magtataas sila ng altitude mula sa 32,000 feet (9,754 meters) sa 38,000 feet (11,582 meters), sinabi ni Murjatmodjo. Ang jet ay huling nakita sa radar dakong 6:16 a.m. at naglaho makalipas ang isang minuto, ayon sa mamamahayag. Lumipad si AirAsia group CEO Tony Fernandes sa Surabaya at sinabi sa isang news conference na ang pokus nila sa ngayon ay sa paghahanap at sa mga pamilya sa halip na sa sanhi ng insidente. ""We have no idea at the moment what went wrong,"" ani Fernandes, isang Malaysian businessman na itinatag ang low-cost carrier noong 2001. ""Let's not speculate at the moment.""",0
"Inihain ng Office of the Ombudsman ang kasong one count of violating the Anti-Graft and Corrupt Practices Act at one count of Malversation through Falsification laban sa limang dating opisyal ng Philippine Marines. Kabilang sa mga kinasuhan ay sina retired Maj. Gen. Renato Miranda, Lt. Col. Jeson Cabatbat, Maj. Adelo Jandayan, Capt. Felicisimo Millado, at Capt Edmundo Yurong. Ayon sa ulat, nai-raffle na ang kaso sa Sandiganbayan Third Division. Sinabi ni Assistant Special Prosecutor III Anna Isabel Aurellano na nagkutsabahan ang lima sa paglulustay ng P36.7 milyon noong 2000 habang sila ay nakaposisyon sa hukbo. Ipinaliwanag ni Aurellano na inilaan ang naturang halaga sa Combat Clothing Allowance at Individual Equipment Allowance ng mga sundalo ngunit hindi nila natanggap ang mga ito noong 1999. Tumatayong disbursing officer ng PMC noong mga panahong iyon, sinabi ng Ombudsman na nasa pangangalaga ni Millado ang naturang halaga subalit kinalaunan ay ibinigay nito ang P36 milyong kay Jandayan.",0
